X,Y,FID,objectid,type,feature_gp,feature_id,asset_id,site_code,site_name,plot_no,location,prim_meas,unit,xy_accurac,sym_code,sym_rot,modified,sculpture,artist,installed,photo_link,label,GlobalID
174.7771529,-41.27915901,75,0,P-Mon.&Memorial-Memorial,PMME,36,1308566,P1764,The Cenotaph - War Memorial Reserve,7000135,"War memorial (""Cenotaph"") on the corner of Bowen St and Lambton Quay, including two bronze lions and horseman/horse at top of structure.  Artist: Richard Oliver Gross (England/NZ 1882-1964). Lions Origin/Provenance: Family of the late Tom James.",1,No., ,0,0,2006-08-07T00:00:00.000Z,The Cenotaph,Richard Oliver Gross,1931, ,no,{1373CC9E-1288-49EA-B7F4-F04E646539C4}
174.7765729,-41.29169129,76,0,P-Sculpture,PSCU,52,1321134,R0401,Cuba St,7000161,"Cuba Street at Manners Mall.   Title/Year: Umbrella (1997).  Consists of Steel, Aluminium. Comments: Original date: 1990, relocated from corner Cuba and Wakefield St to present location & aluminium replaced original fabric.",1,No., ,0,0,2006-08-07T00:00:00.000Z,Umbrella,Peter Kundycki,1990, ,no,{3455BAF3-B1E1-4C0E-ACF5-9C8AB805B9D2}
174.7768862,-41.29132988,77,0,P-Sculpture,PSCU,51,1321133,R0401,Cuba St,7000160,Cuba Mall/Manners Mall.   Title/Year: Cuba Mall Sculptural Sign - Exploding Box Syndrome (1999 - 2000). Artist: Designed by Drex (well known Graffiti artist) Built by Bob Sharpe (Citi-Ops). Consists of Sculpture mounted on sign base.,1,No., ,0,0,2006-08-07T00:00:00.000Z,Cuba Mall Sculpture Sign,"Drex, Bob Sharpe",1999, ,no,{C82BCB83-0D10-4DCB-BA9E-89A640A710D6}
174.7797179,-41.27971491,78,0,P-Sculpture,PSCU,16,1384456,P0719,"Railway Station Reserve, Bunny St",7000170,Railway Station  Title/Year: Railway Station Sculptural Sign - Train (2005). Artist: Designed by Hugh Nicholson (WCC) Built by Bob Sharpe (Citi-Ops). Consists of Painted sculpture made of aluminium mounted on sign base.,1,No., ,0,0,2006-08-07T00:00:00.000Z,Railway Station Sculpture Sign,"Hugh Nicholson, Bob Sharpe",2005, ,no,{3963DBDD-A63C-4C0B-BBC9-BFA8A0A9454A}
174.7693322,-41.28287616,79,0,P-Sculpture,PSCU,6,1293067,P0466,Botanical Gardens of Wellington,7000284,"""Body to Soul"" (1996) sculpture along Norwood Path - sculptor Mary Louise Browne.  Consists of black granite cobblestone.  Origin/Provenance: Wellington Sculpture Trust with help from Creative NZ and WCC.",1,No., ,0,0,1899-12-30T00:00:00.000Z,Body to Soul,Marie Lousie Brown,1996, ,no,{905559AB-F90D-4AAC-815F-3EDEE414A4DD}
174.7676389,-41.28154342,80,0,P-Sculpture,PSCU,8,1293040,P0466,Botanical Gardens of Wellington,7000255,"Large sculpture on Druids Hill - ""Listening and Viewing Device"" (1994).  Artist: Andrew Drummond.  Consists of copper and steel.  Origin/Provenance: Wellington Sculpture Trust with grants from Creative NZ and Wellington City Council.",1,No., ,0,0,1899-12-30T00:00:00.000Z,Listening and Viewing Device,Andrew Drummond,1994, ,no,{FF1D3C95-31B8-4835-865C-0D51DDB95844}
174.7700546,-41.2806544,81,0,P-Sculpture,PSCU,9,1292996,P0466,Botanical Gardens of Wellington,7000210,"Rasa Leela (2001) Dance of Life, Norwood Sculpture - Bronze sculpture on grass near peace flame in the Rose Gardens.",1,No., ,0,0,1899-12-30T00:00:00.000Z,Norwood Sculpture,Andrew De Boer,2001, ,no,{A541A2CB-E06A-401D-B31D-684D8079A28D}
174.7682142,-41.28132496,82,0,P-Sculpture,PSCU,10,1293031,P0466,Botanical Gardens of Wellington,7000246,"Stone water sculpture ""Peacemaker"" (1990) on grass beside Manuka driveway, down from Druid Hill.  Sculptor: Chris Booth.  Consists of boulders and steel.  Origin/Provenance: Wellington Sculpture Trust.",1,No., ,0,0,1899-12-30T00:00:00.000Z,Peacemaker,Chris Booth,1990, ,no,{344B9849-9ED2-4AF3-A04C-98381825131D}
174.7680808,-41.28199766,83,0,P-Sculpture,PSCU,11,1293041,P0466,Botanical Gardens of Wellington,7000256,"""Rudderstone"" (1997) sculpture beside Manuka Way driveway.  Half donation half  WCC funded.  Artist: Denis O'Connor.  Consists of black marble, Azul marble, and Carrara marble.  Origin/Provenance: Wellington Sculpture Trust.",1,No., ,0,0,1899-12-30T00:00:00.000Z,Rudderstone, Dennis O'Connor,1997, ,no,{89DAE6CE-1AEE-4498-9018-62C41592213A}
174.7834606,-41.29414646,84,0,P-Sculpture,PSCU,49,1375258,R0386,Courtenay Pl,7000227,"""Tripod"" a tribute to Wgtn's film industry. Cnr of Courtenay Pl & Cambridge Tce Plaque at the base "" Tripod by Weta W'shop. unveiled by Mayor of Wgtn K.Prendergast 17 Nov 2005. In recognition of the film and television industry. WCC Weta Workshop""",1,No., ,0,0,1899-12-30T00:00:00.000Z,Tripod,Weta Workshop,2005, ,no,{4EB11BB7-1974-4F59-972C-C0508E150C7F}
